q1,q2,q3,q4,q5,q6,q7
-89.9716,-89.965034,-61.724667,-73.35495,-54.534138,-114.14623,-82.70724
-89.96945,-89.99869,-59.967205,-75.00738,-52.83427,-106.16912,-66.189926
-89.97046,-90.016335,-55.82427,-78.45863,-51.33344,-82.94056,-28.982388
-89.9752,-90.02876,-57.238113,-78.90111,-50.351906,-87.495674,8.673112
-89.98058,-90.02474,-62.641926,-79.204666,-51.995487,-91.66959,34.45651
-89.987595,-90.00422,-69.90792,-79.703964,-54.718224,-89.70315,39.52279
-89.98944,-90.00275,-73.08268,-86.047554,-55.376526,-85.4608,11.516458
-89.98891,-90.00342,-73.50733,-90.07967,-61.96368,-81.40381,-1.0329117
-89.98829,-90.005135,-73.76293,-91.8608,-68.95761,-79.065765,-4.6323767
-89.988846,-90.0071,-73.97623,-93.547165,-73.89151,-74.16526,-4.6596875
-89.98825,-90.00626,-76.036896,-94.05931,-79.08786,-71.18866,-5.063146
-89.98731,-90.00473,-79.843025,-96.26626,-85.77659,-67.704254,-5.5590158
-89.98753,-90.00383,-82.44053,-99.093285,-89.50688,-59.311947,-5.552573
-90.01161,-89.98791,-53.28653,-89.30247,-68.45684,-55.327816,45.63389
-89.98975,-90.00564,-86.35478,-99.39312,-94.28677,-45.355762,-8.300613
-89.99076,-90.00222,-88.29171,-97.23878,-96.506386,-37.246662,-7.7987156
-89.99276,-90.00089,-89.19482,-95.95979,-96.411095,-27.322096,-7.96842
-89.99337,-90.00151,-90.52186,-95.910255,-97.20512,-23.083656,-8.929075
-89.99395,-90.00589,-89.64665,-96.41137,-95.72981,-22.247593,-9.960087
-90.007515,-89.99549,-66.27502,-86.086075,-75.65623,-33.18408,32.086113
-90.00691,-90.00309,-90.38157,-95.76271,-86.85141,-33.682343,67.0178
-89.99964,-90.00728,-85.90641,-96.443,-104.40544,-14.566388,-9.066387
-89.997086,-90.00387,-89.6968,-93.36545,-92.00906,-9.280952,-7.9932995
-89.9974,-90.004715,-89.55049,-92.95368,-89.834625,-8.241954,-1.8905201
-89.99776,-90.00563,-89.81771,-93.247345,-88.00915,-8.278799,-0.42571536
-89.99917,-90.00658,-91.20574,-92.74873,-86.63433,-9.279133,-3.764231
-90.00334,-90.004906,-87.38034,-92.59828,-86.34526,-8.043514,35.58561
-90.00354,-90.00727,-92.05732,-92.04593,-86.62977,-2.7586052,52.327538
-89.99906,-90.00225,-77.38232,-91.72453,-81.3345,15.055256,6.8239007
-90.00221,-90.00275,-86.84649,-92.436905,-90.15613,-8.679891,6.1738396
-90.00252,-90.00219,-86.7912,-91.692764,-90.005844,-5.672819,8.728985
-90.001656,-90.00144,-86.15481,-91.13293,-92.93154,5.0725975,8.828834
-90.00088,-90.002815,-87.87251,-91.51552,-92.169655,23.157597,10.428173
-89.997284,-90.003174,-79.694756,-93.34767,-81.80737,28.086237,5.8970165
-89.99875,-90.00372,-83.97463,-90.74663,-84.9788,27.950415,11.084658
-89.996025,-90.0043,-79.53669,-91.01272,-82.121735,35.339058,3.3714197
-89.99925,-90.00031,-89.23032,-90.000885,-91.54423,56.67338,7.673908
-90.00007,-89.99872,-89.416306,-88.743095,-90.92463,47.00869,8.306672
-90.00003,-89.99901,-86.950455,-87.86816,-89.11583,46.931934,7.2857256
-89.999016,-90.001656,-85.833145,-86.23548,-87.07425,57.486248,3.728663
-89.99469,-90.00508,-87.96673,-91.73254,-86.187454,58.784286,4.243726
-89.99558,-90.003815,-87.73047,-89.59555,-84.30678,56.718906,6.03807
-89.99385,-90.006424,-88.97475,-93.14912,-86.018906,65.438156,6.7059665
-90.000336,-90.007454,-83.43392,-84.238,-74.19937,47.295246,-8.754081
-90.00183,-90.00133,-82.597946,-82.23886,-74.72022,43.576374,-7.9931626
-90.00182,-90.00012,-80.25312,-79.54881,-73.425224,53.813213,-7.1623807
-90.00105,-90.00074,-79.62668,-77.23949,-72.45196,68.73757,-6.7521224
-89.99052,-90.00879,-92.184586,-94.79364,-88.550354,88.32619,31.634604
-89.99067,-90.00851,-91.36021,-93.98004,-86.521065,92.515785,47.49374
-90.008766,-90.01204,-80.220406,-85.43212,-71.89245,-37.519524,-82.23947
-90.00288,-90.00356,-82.96457,-80.533356,-69.8772,24.158127,-7.6836495
-90.00396,-90.00565,-83.33464,-81.92609,-68.39689,-24.566162,-5.4460053
-90.00442,-90.00635,-85.74335,-79.02281,-72.86335,-46.646954,0.5056635
-90.00348,-90.00409,-90.19246,-79.37525,-79.89255,-52.592403,9.2593
-90.00323,-89.99808,-88.573166,-83.828445,-82.88858,-41.21264,17.26188
-90.00167,-89.995705,-83.30693,-89.674385,-85.165924,-1.2872599,17.214563
-90.002785,-89.99879,-89.56808,-83.23893,-78.9613,-29.22554,17.018627
-90.001816,-90.00577,-88.09617,-82.02791,-74.28792,-22.728987,2.5274217
-90.000885,-90.00755,-88.88783,-82.93744,-71.773735,-15.8674345,-1.7886429
-90.00052,-90.00811,-88.93001,-84.99966,-68.50449,-11.138618,-2.5702221
-90.001205,-90.00701,-89.462074,-87.553,-66.73667,-9.782761,-0.828752
-90.00223,-90.0029,-90.31187,-91.03556,-67.65374,-15.446781,19.629416
-90.002716,-89.98908,-89.89612,-92.40066,-68.46215,-17.127413,44.37032
-90.001625,-90.00548,-89.65473,-92.210976,-63.231243,-10.865154,15.568572
-90.0005,-90.00697,-88.90375,-91.32393,-61.97569,-7.6631327,-0.8913262
-89.999916,-90.00705,-88.50186,-90.5672,-60.772297,-6.700263,-2.824815
-90.00004,-90.00698,-88.3493,-90.760544,-60.20606,-6.8986607,-1.9918339
-90.00075,-90.006836,-88.39152,-91.99387,-58.481163,-9.119476,4.294621
-90.00188,-90.00442,-87.80182,-92.69077,-56.77571,-13.779604,27.922543
-90.00211,-89.98645,-90.57523,-93.43242,-59.566574,-15.064134,61.692043
-90.00157,-90.005165,-88.0999,-92.61211,-55.683784,-13.230541,21.635254
-90.00036,-90.00684,-87.68855,-91.336464,-57.391365,-8.016762,1.7503161
-89.99989,-90.00705,-87.48473,-90.31569,-57.51088,-6.408425,-1.7996745
-89.99998,-90.00702,-87.49346,-90.56925,-57.423462,-6.608342,-1.3230568
-90.00057,-90.00666,-87.59663,-91.7424,-55.951366,-9.967976,5.8655763
-90.00178,-90.00435,-87.61523,-92.879616,-54.3582,-14.768563,27.366436
-90.002075,-89.98608,-90.67686,-93.56103,-56.771523,-15.48867,64.05016
-90.00137,-90.00543,-88.0975,-93.46582,-55.507084,-12.679781,16.88539
-89.999985,-90.00707,-88.29631,-91.769196,-58.9579,-6.8115845,-1.5988669
-89.99951,-90.00735,-87.535446,-90.22792,-57.9536,-5.7582273,-5.6399207
-89.99958,-90.00746,-87.35022,-89.958374,-58.06763,-6.124135,-5.84329
-90.00008,-90.00664,-88.42406,-91.19611,-60.114372,-7.321567,-3.6481109
-90.00122,-90.00562,-89.09153,-92.99874,-61.0825,-10.735309,3.8267632
-90.00224,-90.000656,-89.38058,-92.35752,-64.74478,-19.312752,32.39666
-90.00069,-90.007164,-87.97291,-88.765236,-60.744614,-7.967646,-2.6510777
-89.99985,-90.011475,-87.40298,-85.74572,-55.70438,-5.2669024,-8.888736
-89.99939,-90.01235,-88.20517,-86.094986,-51.515316,-4.058818,-13.134785
-89.999596,-90.012436,-88.23404,-86.3677,-50.193214,-3.8514767,-13.877628
-90.00038,-90.011826,-88.07735,-86.136086,-52.098576,-4.51037,-11.593331
-90.001945,-90.00761,-89.37045,-84.76002,-58.600384,-13.023346,-4.187768
-90.00322,-90.00317,-89.79706,-84.09224,-64.74968,-29.619875,7.9739327
-90.00211,-90.008446,-85.23275,-85.07354,-52.71677,-10.012007,-10.278731
-90.001816,-90.007355,-84.515144,-85.34405,-46.822166,7.814873,-18.536575
-90.00156,-89.99935,-84.75563,-78.27732,-47.49098,33.73898,-17.325026
-90.00117,-89.99967,-83.32383,-75.36997,-48.132633,47.884266,-13.533797
-90.0012,-89.999596,-82.874794,-75.282295,-49.45518,56.380375,-9.307321
-90.00157,-90.000374,-83.793655,-76.2753,-50.30896,59.177715,-6.6866136
-90.00184,-90.00186,-79.0224,-81.35062,-54.20108,59.256775,0.4041411
-90.001884,-89.998856,-83.31412,-79.17279,-47.412918,44.34391,-8.874922
-90.00141,-89.999565,-83.940506,-81.078926,-40.268875,27.745657,-18.200823
-90.000565,-90.00603,-84.19339,-84.6223,-32.649837,13.857219,-20.569672
-90.00009,-90.00703,-86.298775,-89.00314,-29.373316,2.5912178,-20.779114
-89.99947,-90.01029,-85.48769,-89.791374,-31.85814,-1.6582416,-17.180946
-89.99994,-90.00947,-84.73326,-88.846466,-39.9434,-4.098753,-9.640714
-90.00079,-90.00538,-88.49648,-93.62458,-47.347427,-12.150844,19.099882
-89.99997,-90.007935,-84.221306,-90.641495,-39.096615,-4.24173,-8.011098
-89.99855,-90.01177,-84.713844,-91.15051,-32.450394,-2.133598,-17.324986
-89.998215,-90.012215,-85.290695,-92.01905,-29.630503,-1.932398,-20.135128
-89.99828,-90.01213,-84.99767,-91.71485,-29.634102,-1.9619539,-17.98221
-89.99942,-90.00793,-81.6235,-91.22606,-33.393635,-3.3366532,-10.773568
-90.000694,-90.0045,-82.10987,-92.64912,-36.96177,-13.690074,9.6371765
-90.001884,-89.99315,-84.547806,-95.161766,-33.57032,-20.92522,55.195496
-90.00073,-90.00423,-80.97854,-92.02314,-35.09724,-12.433445,5.5129824
-89.99948,-90.00815,-81.68743,-90.69127,-29.917913,-4.530364,-11.31469
-89.99858,-90.01148,-83.673454,-90.47928,-27.303505,-3.0452685,-15.367106
-89.998886,-90.01052,-82.79937,-90.12402,-27.559368,-3.5930657,-14.1531105
-90.00027,-90.005684,-79.827415,-89.90933,-30.304422,-7.140964,-7.4685564
-90.001,-90.00425,-80.341194,-90.7802,-33.164482,-17.102858,16.239496
-90.002045,-89.99041,-83.26234,-92.75596,-30.089184,-21.500748,58.437695
-90.00094,-90.00389,-80.212204,-90.18755,-32.313427,-14.849615,8.666801
-89.99971,-90.00767,-81.325615,-89.07571,-27.53915,-6.3838925,-10.182815
-89.99858,-90.011116,-83.586555,-89.184555,-24.661884,-3.8869379,-14.767126
-89.9989,-90.010254,-83.047035,-89.00456,-25.026665,-4.618945,-13.755491
-90.00027,-90.00571,-80.21595,-88.87625,-28.021357,-7.8799734,-7.440148
-90.001114,-90.00392,-80.357704,-89.99357,-30.770664,-17.747715,15.96957
-90.00207,-89.98981,-82.90344,-91.8524,-28.741995,-21.581724,59.45378
-90.00098,-90.00373,-80.70972,-90.33119,-30.071142,-14.248373,7.1760087
-89.99918,-90.008545,-82.90466,-89.817085,-24.011215,-5.0608125,-12.197966
-89.99809,-90.011024,-84.93082,-90.50863,-20.956148,-2.5278006,-16.718733
-89.99823,-90.01054,-84.895676,-90.79186,-20.846731,-2.3246026,-16.22095
-89.9993,-90.00763,-83.32199,-90.73065,-22.922352,-4.7397285,-11.433777
-90.00108,-90.00304,-82.13776,-91.96466,-26.702888,-14.977297,10.945468
-90.00211,-89.9907,-83.59813,-93.72461,-27.069038,-19.177668,57.686142
-90.00052,-90.00399,-82.95216,-90.87197,-23.131569,-7.7396107,-2.556737
-89.99933,-90.00747,-84.68478,-91.639305,-15.440521,-1.5862159,-15.487594
-89.99905,-90.00734,-85.21793,-92.91731,-12.609586,-1.0983524,-17.233208
-89.99922,-90.00687,-84.10372,-91.78105,-12.49129,-0.4972351,-17.020641
-89.99978,-90.006035,-83.13499,-90.62111,-13.555717,0.8480702,-16.911385
-90.00098,-90.001366,-83.38668,-90.29108,-17.482632,2.877661,-11.600296
-90.00074,-90.00284,-88.68945,-87.16875,-28.360027,1.1100049,43.469517
-90.00061,-90.00181,-81.27937,-87.977066,-16.087925,11.090658,-16.340347
-90.00038,-90.002594,-82.7627,-83.18249,-18.137577,19.413773,-18.713673
-90.00017,-89.99671,-83.33311,-79.97333,-18.79926,35.049706,-16.632917
-90.00059,-89.99407,-82.94955,-79.17285,-20.314432,40.627296,-15.438639
-90.0014,-89.99195,-82.5399,-79.65267,-20.48636,41.16656,-14.566813
-90.00231,-89.99022,-83.36446,-82.10331,-21.276773,38.141792,-12.247572
-90.00304,-89.98661,-83.80246,-84.201256,-16.214018,37.104008,-1.9696577
-90.00163,-89.99343,-83.0864,-83.04166,-17.937208,34.013157,-18.426891
-90.00033,-89.999695,-83.88328,-83.05037,-13.564566,26.061054,-19.23159
-89.99941,-90.00286,-83.45609,-84.37014,-8.020469,15.247908,-15.413279
-89.998955,-90.0029,-80.77394,-87.02196,-2.5712943,6.4480143,-13.378564
-89.998825,-90.00397,-81.033325,-88.64313,2.2870407,1.9097936,-14.965654
-90.0005,-89.996956,-84.51424,-88.21057,0.022897149,3.772122,-5.406171
-90.00093,-89.98681,-83.55798,-90.11797,-9.420008,1.0676299,63.77222
-89.99911,-90.00247,-79.93604,-88.593094,4.9582214,-3.5283346,-7.4937515
-89.99776,-90.00436,-80.14494,-89.57973,5.6172667,-2.6761956,-12.850018
-89.997604,-90.00252,-80.173004,-88.66229,4.7632766,-2.6602817,-11.971026
-89.99765,-90.00269,-80.012985,-88.35018,5.0238547,-2.9900317,-11.449862
-89.99778,-90.004974,-79.36498,-88.26631,5.718354,-3.6181803,-11.467888
-89.99875,-90.00453,-79.06744,-86.540245,4.4002743,-6.2238483,-7.1298428
-89.999794,-89.99246,-81.62563,-86.72531,-4.453139,-21.214373,53.7557
-89.99824,-90.00666,-78.67462,-86.1543,5.0643663,-4.0705166,-11.268877
-89.997734,-90.00315,-80.06211,-86.524254,4.411468,-4.009891,-10.234957
-89.99743,-90.00401,-81.10939,-85.35969,3.8387964,-4.104977,-11.0419235
-89.99748,-90.00416,-80.98006,-84.989815,3.6888168,-4.2104554,-10.891698
-89.997894,-90.00366,-79.90692,-85.4197,3.7679975,-4.314331,-9.919944
-89.998375,-90.007,-78.41431,-84.321945,3.941034,-4.993274,-10.589155
-89.999374,-90.001114,-81.40077,-83.07429,-1.6176224,-19.752638,34.355434
-89.99828,-90.00569,-78.792465,-84.52636,3.7045105,-4.545175,-9.99853
-89.99765,-90.0047,-80.66025,-83.72916,3.3206723,-4.504065,-10.575874
-89.99734,-90.00511,-82.77646,-84.29227,3.9056523,-4.50041,-11.44205
-89.997406,-90.00505,-82.417,-84.10079,3.822396,-4.528851,-11.223348
-89.9978,-90.0044,-79.94765,-83.646835,3.520928,-4.572726,-10.08838
-89.998375,-90.00644,-78.26876,-83.68263,3.9275897,-4.74326,-10.052682
-89.99925,-90.004395,-81.829315,-82.22885,0.50143,-17.615927,28.236284
-89.99814,-90.00538,-78.50559,-84.936966,5.25982,-4.682604,-9.872582
-89.9976,-90.00339,-80.16698,-85.53825,5.5556855,-4.0732017,-10.337726
-89.99729,-90.0032,-81.88514,-86.83394,6.7118783,-3.793019,-11.128744
-89.99739,-90.00268,-81.03476,-87.22057,7.354698,-3.612063,-10.859016
-89.99759,-90.00343,-78.97649,-87.54025,8.730275,-3.7533884,-10.755792
-89.99791,-90.00693,-77.38657,-86.94828,10.490955,-4.076663,-11.986291
-89.999146,-89.99567,-82.54809,-87.69739,4.643721,-13.912486,48.668488
-89.997635,-90.00726,-78.33591,-88.51325,12.810827,-3.6294787,-13.526592
-89.997246,-90.004425,-79.783676,-88.92568,11.572495,-2.263046,-12.896349
-89.99727,-90.003845,-80.85426,-88.09443,12.538633,-0.7950743,-12.956864
-89.99739,-90.00419,-80.67317,-88.249725,13.257485,-0.21731149,-13.396459
-89.99748,-90.0061,-81.63581,-90.040146,15.287869,1.488879,-17.15741
-89.99933,-90.00179,-85.33102,-88.852646,13.2176485,13.044958,-19.16915
-89.99919,-89.98571,-90.01069,-92.89538,4.045828,41.906513,22.862688
-90.00005,-89.99708,-85.95702,-88.38479,14.581236,21.377304,-27.19624
-89.999084,-89.99762,-85.67774,-86.0654,13.972038,25.262617,-24.21674
-89.99856,-89.99573,-85.56967,-84.59058,8.997954,33.812946,-19.640009
-89.99854,-89.9923,-85.5171,-83.67626,7.2534933,44.99317,-20.191998
-90.00037,-89.98776,-87.868164,-82.3417,8.575875,46.887455,-21.025166
-90.00255,-89.98291,-92.53363,-88.33209,10.250764,44.3221,-6.282036
-90.00307,-89.98117,-92.67965,-93.00377,4.48932,74.496635,53.4672
-90.00202,-89.985535,-91.21188,-87.27665,13.784922,42.34084,-19.593622
-89.99935,-89.993,-85.65553,-84.01959,16.078575,36.649696,-26.595795
-89.99848,-89.99969,-86.307396,-88.40341,19.38091,17.389124,-20.90361
-89.997734,-90.003395,-85.311264,-90.42145,21.543577,8.199367,-18.58296
-89.9978,-90.00483,-83.863434,-90.44663,22.484415,5.088417,-20.236536
-89.9983,-90.00448,-82.415344,-89.21415,21.816723,8.170551,-22.089676
-89.99795,-89.99788,-84.69378,-91.301186,18.9009,22.556208,5.060045
-89.99703,-90.008766,-82.301636,-89.02976,20.086592,-3.5358493,-12.623996
-89.99744,-90.00536,-83.0552,-90.49251,24.17935,-2.8149366,-14.879416
-89.99738,-90.00454,-82.766136,-89.8833,27.005064,-3.2394166,-14.3578205
-89.99747,-90.00445,-82.51106,-88.81005,27.555809,-3.5447001,-13.653069
-89.99757,-90.00462,-82.2882,-88.71231,25.998634,-3.8698046,-12.826885
-89.99787,-90.00574,-81.4182,-87.15352,23.117504,-4.3364687,-11.123621
-89.99812,-90.009285,-81.415054,-84.637665,20.997522,-5.2669396,-2.2047393
-89.99786,-90.00433,-81.84654,-87.05687,25.273502,-4.4154873,-10.73977
-89.99796,-90.00338,-83.07564,-84.150314,30.24711,-4.16507,-11.005455
-89.99812,-90.00289,-83.870316,-83.41242,32.89691,-3.762837,-11.18477
-89.9982,-90.00267,-83.86868,-83.06232,32.95631,-3.793792,-10.805253
-89.998215,-90.00274,-82.96058,-82.74746,30.678606,-4.2144666,-9.946079
-89.99824,-90.00284,-81.695946,-83.93636,26.66213,-4.5989447,-8.3619375
-89.99875,-90.004555,-81.54283,-83.33604,22.910099,-4.4941955,-4.8383555
-89.99828,-90.002686,-82.02325,-82.42823,28.17943,-4.635286,-8.876182
-89.99837,-90.00247,-83.55495,-81.7817,33.328728,-4.0592217,-9.93591
-89.99842,-90.00234,-84.15121,-82.373215,35.574688,-3.7927,-10.354669
-89.99843,-90.00235,-84.03012,-82.15656,35.17686,-3.8066518,-10.345441
-89.99837,-90.00272,-83.383705,-81.21223,32.996616,-4.3654566,-9.627187
-89.998344,-90.00283,-82.08689,-81.77785,28.458277,-4.7543416,-8.266745
-89.99882,-90.00369,-82.12581,-83.123985,24.851957,-4.43858,-3.9717405
-89.99826,-90.00329,-82.93108,-82.22873,30.07529,-4.8831573,-9.180942
-89.99824,-90.003555,-84.02657,-81.971344,34.631706,-4.3168097,-10.779642
-89.998116,-90.00434,-84.40216,-82.31691,36.77981,-4.373859,-11.696182
-89.998,-90.00497,-84.169876,-82.08441,36.307858,-4.5174847,-12.194945
-89.99792,-90.005684,-83.45112,-83.55796,34.264442,-5.015435,-11.932408
-89.99806,-90.00535,-82.34713,-86.619675,30.67874,-4.4980426,-10.161048
-89.99814,-90.00888,-84.466095,-86.49097,26.65251,-5.518247,0.38388208
-89.99791,-90.00557,-83.064865,-88.39164,31.978846,-4.0800195,-11.626455
-89.99757,-90.00692,-83.57904,-87.50839,35.737606,-4.670699,-14.541605
-89.99737,-90.00747,-84.53226,-88.161964,38.74347,-4.69493,-15.748792
-89.997246,-90.00711,-84.729706,-89.53408,40.005417,-5.142469,-14.495146
-89.99732,-90.00595,-86.266884,-91.73639,41.36449,-7.314738,-5.979578
-89.998344,-90.00086,-87.11741,-89.75146,38.976017,6.048138,-18.758648
-89.999825,-89.989525,-81.31118,-90.60324,27.714449,34.707024,-36.334538
-89.99944,-89.99068,-86.163826,-89.43844,41.83913,27.488737,-41.1881
-89.99888,-89.99282,-89.35028,-90.29199,48.76613,19.471956,-37.067585
-89.99858,-89.991745,-89.617935,-90.267296,48.812546,24.688406,-38.453827
-89.99881,-89.98929,-89.8054,-88.69794,45.31296,40.109554,-42.943504
-90.000534,-89.98297,-92.53745,-93.37953,43.773876,46.79695,-35.981285
-90.00269,-89.9694,-82.803535,-96.40829,41.523003,46.218487,-4.5989766
-90.00338,-89.967514,-86.373,-96.93147,31.288088,72.84546,41.230545
-90.00169,-89.97709,-84.46856,-93.65731,44.52055,45.063255,-27.782082
-89.99899,-89.98923,-88.08022,-90.74046,50.338394,32.511497,-51.147663
-89.99817,-89.99682,-90.024055,-94.91631,59.957043,5.4690957,-22.896673
-89.99695,-90.00597,-90.84252,-92.13083,60.343864,-11.564174,1.1214972
-89.99649,-90.00976,-89.19334,-89.64949,59.155643,-13.091015,5.330168
-89.99663,-90.00926,-89.43766,-88.98874,56.887253,-12.076703,8.491076
-89.99705,-90.00578,-89.41937,-90.40181,52.56613,-9.894521,10.643147
-89.99764,-90.011986,-86.52919,-83.75481,57.58632,-8.779748,-6.9781537
-89.997314,-90.01381,-85.091934,-85.31628,59.840168,-8.15345,-15.538089
-89.99712,-90.01432,-85.215065,-86.62593,62.498356,-8.624392,-15.857102
-89.997284,-90.01366,-85.39711,-86.37591,62.14625,-8.629316,-14.923899
-89.99771,-90.01194,-84.42448,-83.91033,59.989708,-8.207649,-13.044338
-89.99829,-90.00997,-83.81976,-81.317795,55.771748,-7.7372656,-10.793977
-89.999115,-90.00791,-84.18903,-78.98068,51.54348,-6.440812,-6.8698554
-89.99872,-90.00678,-83.68626,-81.2001,57.19987,-7.080543,-7.611577
-89.99875,-90.005424,-84.94565,-84.057594,63.287975,-6.829491,-5.3971114
-89.99883,-90.00443,-85.94934,-85.63906,67.031265,-6.5668736,-3.9438365
-89.99907,-90.00307,-85.621124,-85.487885,67.65263,-6.2318687,-2.4739735
-89.99938,-90.00175,-84.25606,-83.88213,65.29855,-5.930563,-1.326282
-89.999664,-90.0009,-82.06783,-80.61272,60.179073,-5.783658,-0.92341083
-90.00008,-90.00092,-83.72146,-77.66344,54.072548,-5.2220373,0.11406213
-89.999794,-89.999794,-82.390076,-81.83126,62.94362,-5.5029144,0.5234526
-89.999695,-89.99928,-84.434555,-85.0199,69.79421,-5.393175,1.7206405
-89.999626,-89.999054,-85.25696,-86.16435,73.095055,-5.38872,2.3301933
-89.99963,-89.99906,-85.05631,-85.97729,72.8644,-5.438416,2.399951
-89.99972,-89.999306,-83.92882,-84.57455,69.39325,-5.5245905,1.9501656
-89.99981,-89.99975,-81.89487,-81.529305,63.232132,-5.6694083,1.0090059
-90.000046,-90.00034,-81.788025,-77.304245,56.37279,-5.474725,0.80707103
-89.99958,-90.00137,-83.445595,-82.55152,64.047424,-6.0152955,-0.56670296
-89.9989,-90.004555,-85.93969,-85.67588,68.48622,-6.7898674,-3.284216
-89.99821,-90.008064,-87.23885,-86.90831,69.66653,-7.705772,-6.6682367
-89.99773,-90.01075,-87.45179,-87.64721,68.94262,-8.47699,-9.59746
-89.99767,-90.01182,-86.92222,-87.524124,67.04022,-8.723482,-11.049434
-89.99794,-90.01155,-85.242004,-85.059875,63.883682,-8.5508795,-10.992249
-89.99841,-90.01069,-85.25365,-81.00047,59.910892,-8.128715,-7.1601396
-89.99727,-90.014694,-87.017075,-86.765015,67.26128,-9.35666,-13.932779
-89.9965,-90.01737,-88.60854,-89.393906,72.827866,-9.937283,-16.886917
-89.99622,-90.01792,-88.212234,-90.35861,75.97958,-10.240071,-17.789928
-89.99561,-90.01916,-86.35902,-90.34447,75.596825,-15.027675,-6.5948477
-89.99553,-90.01652,-86.018,-90.38149,74.865845,-16.166346,8.423121
-89.99498,-90.013054,-85.4797,-92.71162,75.72242,-7.1491995,12.729702
-89.99813,-89.996216,-85.46176,-90.67165,65.77255,23.579935,-29.971104
